,Action,Transaction Date,Time,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result of Sell,Currency (Result),Total (GBP),Currency (Total),Total USD,Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Price / Share (GBP)
389,Withdrawal,2021-04-13,13:56:36,,,,,,,,,803.0,GBP,,,,,,,,
390,Market sell,2021-04-13,13:58:34,MRK,Merck & Co,8.0,76.52,USD,1.37487,-2.77,GBP,445.25,GBP,,,,,,,,55.65617112890673
391,Withdrawal,2021-04-13,13:59:18,,,,,,,,,445.0,GBP,,,,,,,,
392,Market sell,2021-04-13,14:01:11,CVS,CVS Health,4.0,73.87,USD,1.37544,0.14,GBP,214.83,GBP,,,,,,,,53.70645029954051
393,Withdrawal,2021-04-13,14:01:33,,,,,,,,,215.0,GBP,,,,,,,,
394,Deposit,2021-04-13,13:56:36,,,,,,,,,803.0,GBP,,,,803,GBP,,,
395,Market buy,2021-04-13,13:57:05,FSLY,Fastly,15.0,69.13,USD,1.37443,,GBP,755.59,GBP,,,,,,,,50.297214117852484
396,Market buy,2021-04-13,13:57:17,FSLY,Fastly,1.0,69.12,USD,1.37445,,GBP,50.37,GBP,,,,,,,,50.289206591727606
397,Deposit,2021-04-13,13:59:18,,,,,,,,,445.0,GBP,,,,445,GBP,,,
398,Market buy,2021-04-13,13:59:31,MRK,Merck & Co,8.0,76.54,USD,1.37508,,GBP,445.97,GBP,,,,,,,,55.66221601652268
399,Deposit,2021-04-13,14:01:33,,,,,,,,,215.0,GBP,,,,215,GBP,,,
400,Market buy,2021-04-13,14:01:52,CVS,CVS Health,4.0,73.94,USD,1.375,,GBP,215.42,GBP,,,,,,,,53.77454545454545
401,Dividend,2021-04-14,9:34:32,HASI,Hannon Armstrong Sustainable Infrastructure Capital,18.0,0.3,USD,,,,3.88,GBP,,0.95,USD,,,,,
402,Market sell,2021-04-14,13:30:02,CMCSA,Comcast,14.0,53.53,USD,1.37774,14.24,GBP,543.94,GBP,,,,,,,,38.85348469232221
403,Withdrawal,2021-04-14,15:12:07,,,,,,,,,549.0,GBP,,,,,,,,
404,Dividend,2021-04-14,9:34:32,HASI,Hannon Armstrong Sustainable Infrastructure Capital,45.0,0.3,USD,,,,9.71,GBP,,2.36,USD,,,,,
405,Deposit,2021-04-14,15:12:07,,,,,,,,,549.0,GBP,,,,549,GBP,,,
406,Market buy,2021-04-14,15:12:57,CMCSA,Comcast,14.0,53.7,USD,1.37864,,GBP,546.14,GBP,,,,,,,,38.95143039517205
407,Market sell,2021-04-15,13:30:03,ECL,Ecolab,2.0,218.78,USD,1.37937,13.6,GBP,317.22,GBP,,,,,,,,158.60864017631238
408,Withdrawal,2021-04-15,14:21:58,,,,,,,,,317.0,GBP,,,,,,,,
409,Market sell,2021-04-15,14:25:06,WTRG,Essential Utilities,12.0,47.05,USD,1.3784,33.22,GBP,409.59,GBP,,,,,,,,34.13377829367382
410,Withdrawal,2021-04-15,14:25:52,,,,,,,,,410.0,GBP,,,,,,,,
411,Market sell,2021-04-15,15:34:41,HON,Honeywell International,1.0,229.28,USD,1.37852,19.41,GBP,166.32,GBP,,,,,,,,166.32330325276385
412,Withdrawal,2021-04-15,15:35:09,,,,,,,,,167.0,GBP,,,,,,,,
413,Market sell,2021-04-15,15:38:37,VZ,Verizon Communications,12.0,57.7,USD,1.37848,9.44,GBP,502.29,GBP,,,,,,,,41.85769833439731
414,Withdrawal,2021-04-15,15:39:02,,,,,,,,,503.0,GBP,,,,,,,,
415,Deposit,2021-04-15,14:21:58,,,,,,,,,317.0,GBP,,,,317,GBP,,,
416,Market buy,2021-04-15,14:22:53,ECL,Ecolab,2.0,219.85,USD,1.37774,,GBP,319.62,GBP,,,,,,,,159.57292377371638
417,Deposit,2021-04-15,14:25:52,,,,,,,,,410.0,GBP,,,,410,GBP,,,
418,Market buy,2021-04-15,14:26:06,WTRG,Essential Utilities,12.0,47.04,USD,1.37816,,GBP,410.19,GBP,,,,,,,,34.13246647704185
419,Deposit,2021-04-15,15:35:09,,,,,,,,,167.0,GBP,,,,167,GBP,,,
420,Market buy,2021-04-15,15:35:36,HON,Honeywell International,1.0,229.37,USD,1.37787,,GBP,166.72,GBP,,,,,,,,166.46708325168558
421,Deposit,2021-04-15,15:39:02,,,,,,,,,503.0,GBP,,,,503,GBP,,,
422,Market buy,2021-04-15,15:39:18,VZ,Verizon Communications,12.0,57.71,USD,1.37822,,GBP,503.22,GBP,,,,,,,,41.87285048831101
423,Market sell,2021-04-16,13:54:25,RIOT,Riot Platforms,68.0,43.27,USD,1.37959,-102.43,GBP,2132.76,GBP,,,,,,,,31.36439086975116
424,Withdrawal,2021-04-16,13:54:58,,,,,,,,,2132.0,GBP,,,,,,,,
425,Deposit,2021-04-16,13:54:58,,,,,,,,,2132.0,GBP,,,,2132,GBP,,,
426,Market buy,2021-04-16,13:55:38,RIOT,Riot Platforms,65.0,43.43,USD,1.37906,,GBP,2050.08,GBP,,,,,,,,31.492465882557685
427,Market buy,2021-04-16,13:55:53,RIOT,Riot Platforms,3.0,43.54,USD,1.37906,,GBP,94.86,GBP,,,,,,,,31.572230359810305
428,Market sell,2021-04-19,13:53:10,NKE,Nike,18.0,132.5,USD,1.39556,-6.28,GBP,1708.99,GBP,,,,,,,,94.94396514660782
429,Withdrawal,2021-04-19,13:53:33,,,,,,,,,1710.0,GBP,,,,,,,,
430,Market sell,2021-04-19,13:55:46,PETS,PetMed Express,65.0,31.28,USD,1.39571,-17.15,GBP,1456.71,GBP,,,,,,,,22.411532481675994
431,Withdrawal,2021-04-19,13:56:14,,,,,,,,,1455.0,GBP,,,,,,,,
432,Dividend,2021-04-19,14:49:09,MDT,Medtronic,1.0,0.44,USD,,,,0.31,GBP,,0.0,USD,,,,,
433,Dividend,2021-04-19,15:36:50,ECL,Ecolab,2.0,0.41,USD,,,,0.58,GBP,,0.14,USD,,,,,
434,Dividend,2021-04-19,16:07:33,O,Realty Income,30.0,0.2,USD,,,,4.29,GBP,,1.06,USD,,,,,
435,Dividend,2021-04-19,16:40:38,STOR,STORE Capital,66.0,0.31,USD,,,,14.44,GBP,,3.56,USD,,,,,
436,Deposit,2021-04-19,13:53:33,,,,,,,,,1710.0,GBP,,,,1710,GBP,,,
437,Market buy,2021-04-19,13:54:05,NKE,Nike,17.0,132.66,USD,1.39514,,GBP,1618.9,GBP,,,,,,,,95.08723138896454
438,Market buy,2021-04-19,13:54:15,NKE,Nike,1.0,132.62,USD,1.39502,,GBP,95.21,GBP,,,,,,,,95.06673739444597
439,Deposit,2021-04-19,13:56:14,,,,,,,,,1455.0,GBP,,,,1455,GBP,,,
